Type,Product,Started Date,Completed Date, Description, Amount, Fee, Currency, State,Balance
CARD_PAYMENT, Current, 2024-01-08 20:18:58, 2024-01-09 11:58:22, Ruby, -13.27, 0.00, USD, COMPLETED, 19.79
CARD_PAYMENT, Current, 2024-01-08 20:18:58, 2024-01-09 11:58:22, Discord, -13.27, 0.00, USD, COMPLETED, 19.79
CARD_PAYMENT, Current, 2024-01-09 09:30:12, 2024-01-09 15:45:10, Netflix, -25.50, 0.00, USD, COMPLETED, 30.00
CARD_PAYMENT, Current, 2024-01-10 14:15:45, 2024-01-10 18:30:55, Amazon, -50.00, 0.00, USD, COMPLETED, 55.50
CARD_PAYMENT, Current, 2024-01-11 08:00:30, 2024-01-11 14:10:45, Spotify, -8.99, 0.00, USD, COMPLETED, 10.00
CARD_PAYMENT, Current, 2024-01-12 12:22:40, 2024-01-12 16:00:00, Uber Eats, -15.75, 0.00, USD, COMPLETED, 20.00
CARD_PAYMENT, Current, 2024-01-13 10:05:20, 2024-01-13 11:30:00, Ticketmaster, -12.50, 0.00, USD, COMPLETED, 18.00
CARD_PAYMENT, Current, 2024-01-14 16:20:11, 2024-01-14 20:15:34, eBay, -30.00, 0.00, USD, COMPLETED, 40.00
CARD_PAYMENT, Current, 2024-01-15 09:45:00, 2024-01-15 13:10:22, Airbnb, -5.75, 0.00, USD, COMPLETED, 7.50
CARD_PAYMENT, Current, 2024-01-16 11:00:00, 2024-01-16 14:30:00, DoorDash, -18.99, 0.00, USD, COMPLETED, 25.00
CARD_PAYMENT, Current, 2024-01-17 13:30:05, 2024-01-17 17:20:15, Grubhub, -22.15, 0.00, USD, COMPLETED, 27.50
CARD_PAYMENT, Current, 2024-01-18 15:05:10, 2024-01-18 19:45:00, Best Buy, -45.80, 0.00, USD, COMPLETED, 50.00
CARD_PAYMENT, Current, 2024-01-19 08:10:25, 2024-01-19 11:00:40, Walmart, -3.60, 0.00, USD, COMPLETED, 5.00
CARD_PAYMENT, Current, 2024-01-20 19:25:30, 2024-01-20 23:05:12, Starbucks, -60.00, 0.00, USD, COMPLETED, 70.00
CARD_PAYMENT, Current, 2024-01-21 12:15:15, 2024-01-21 15:10:10, Zalando, -10.50, 0.00, USD, COMPLETED, 12.00
CARD_PAYMENT, Current, 2024-01-22 11:00:05, 2024-01-22 14:00:22, Ticketek, -33.00, 0.00, USD, COMPLETED, 36.00
CARD_PAYMENT, Current, 2024-01-23 09:45:12, 2024-01-23 12:20:11, H&M, -14.50, 0.00, USD, COMPLETED, 17.00
CARD_PAYMENT, Current, 2024-01-24 10:30:15, 2024-01-24 15:45:00, ASOS, -27.80, 0.00, USD, COMPLETED, 31.00
CARD_PAYMENT, Current, 2024-01-25 16:40:20, 2024-01-25 20:00:00, Nike, -11.11, 0.00, USD, COMPLETED, 14.00
CARD_PAYMENT, Current, 2024-01-26 12:22:40, 2024-01-26 18:10:00, Adidas, -2.99, 0.00, USD, COMPLETED, 4.00
CARD_PAYMENT, Current, 2024-01-27 13:00:30, 2024-01-27 16:55:20, CVS, -37.40, 0.00, USD, COMPLETED, 45.00
